place,lat,lon,elevation,country
Etna,37.748,14.999,3357,Italy
Etna,37.748,14.999,3357,Italy
Karthala,-11.75,43.38,2361,Comoros
Ritter Island,-5.519,148.115,75,Papua New Guinea
Rabaul,-4.246,152.194,688,Papua New Guinea
Etna,37.748,14.999,3357,Italy
Nyiragongo,-1.52,29.25,3470,"Congo, DRC"
Vesuvius,40.821,14.426,1281,Italy
Vesuvius,40.821,14.426,1281,Italy
Ischia,40.73,13.897,789,Italy
Alayta,12.888,40.573,1496,Ethiopia
Vesuvius,40.821,14.426,1281,Italy
Stromboli,38.789,15.213,924,Italy
Etna,37.748,14.999,3357,Italy
Karthala,-11.75,43.38,2361,Comoros
Rabaul,-4.246,152.194,688,Papua New Guinea
Vesuvius,40.821,14.426,1281,Italy
Okataina,-38.157,176.507,1111,New Zealand
Manam,-4.08,145.037,1807,Papua New Guinea
Karkar,-4.647,145.976,1839,Papua New Guinea
Campi Flegrei,40.827,14.139,458,Italy
"Fournaise, Piton de la",-21.244,55.708,2632,Reunion
Vesuvius,40.821,14.426,1281,Italy
Vesuvius,40.821,14.426,1281,Italy
Stromboli,38.789,15.213,924,Italy
Stromboli,38.789,15.213,924,Italy
Okataina,-38.157,176.507,1111,New Zealand
Etna,37.748,14.999,3357,Italy
Vesuvius,40.821,14.426,1281,Italy
Etna,37.748,14.999,3357,Italy
Etna,37.748,14.999,3357,Italy
Whakaari/White Island,-37.52,177.18,294,New Zealand
Niuafo'ou,-15.6,-175.63,260,Tonga
Nyamulagira,-1.408,29.2,3058,"Congo, DRC"
Karkar,-4.647,145.976,1839,Papua New Guinea
Campi Flegrei,40.827,14.139,458,Italy
Niuafo'ou,-15.6,-175.63,260,Tonga
Bam,-3.613,144.818,685,Papua New Guinea
Vesuvius,40.821,14.426,1281,Italy
Oku Volcanic Field,6.25,10.5,3011,Cameroon
Etna,37.748,14.999,3357,Italy
Santorini,36.404,25.396,367,Greece
Dama Ali,11.28,41.63,1068,Ethiopia
Etna,37.748,14.999,3357,Italy
Dieng Volcanic Complex,-7.2,109.879,2565,Indonesia
Dieng Volcanic Complex,-7.2,109.879,2565,Indonesia
Merapi,-7.54,110.446,2910,Indonesia
Merapi,-7.54,110.446,2910,Indonesia
Merapi,-7.54,110.446,2910,Indonesia
Merapi,-7.54,110.446,2910,Indonesia
Merapi,-7.54,110.446,2910,Indonesia
Merapi,-7.54,110.446,2910,Indonesia
Merapi,-7.54,110.446,2910,Indonesia
Merapi,-7.54,110.446,2910,Indonesia
Merapi,-7.54,110.446,2910,Indonesia
Merapi,-7.54,110.446,2910,Indonesia
Merapi,-7.54,110.446,2910,Indonesia
Merapi,-7.54,110.446,2910,Indonesia
Merapi,-7.54,110.446,2910,Indonesia
Merapi,-7.54,110.446,2910,Indonesia
Kelud,-7.935,112.314,1730,Indonesia
Kelud,-7.935,112.314,1730,Indonesia
Kelud,-7.935,112.314,1730,Indonesia
Kelud,-7.935,112.314,1730,Indonesia
